Society_latitude,Society_longitude,Homeland_latitude_of_diasporic_peoples,Homeland_longitude_of_diasporic_peoples,Area_latitude,Area_longitude,Region,Division,Subregion,Area,society,alternative_names,People,People_alternative_names,People2,People3,Preindustrial_Style_clusters,Focal_years,Koppen_climate_terrain,Koppen_code,Preindustrial_Subsistence_taxon,Taxon_id,cantometrics_samplesize,minutage_samplesize,parlametrics_samplesize,phonotactics_samplesize,Language,ISO6393,GlottoID,LevelGlottoID,LangLevParent,FamilyLevGlottocode,Country,Country_id,society_id,C_cid,M_cid,P_cid,Ph_cid,Ch_cid,EA_Prov_name,EA_Prov_#,Culture_Wiki,Society_summary,Notes_1,Notes_2,Culture Sources,"Priority_ranking_for_further_review (see worksheet ""Societies_ranked_for_review"")",HOW WELL WAS THE SOCIETY CHECKED BY KK?,KK_warning_or_question,ADMIN_NOTES_on_how_language_and_D-PLACE_matches_were_assigned,default_DPL_soc_id,default_DPL_PrefName,default_DPL_OrigName,xd_id_1,total_DPLACE_soc_w_xd_id,eHRAF_soc_w_xd_id?,eHRAF_OWC,eHRAF_OWC_Name,eHRAF_SubOWC_in_DPLACE,eHRAF_SubOWC_Name_in_DPLACE,eHRAF_subOWC_FINAL_STATUS_2021,Does_GJB_id_match_multiple_xd_ids,default_DPL_soc_id_2,default_DPL_PrefName_2,default_DPL_OrigName_2,xd_id_2,total_DPLACE_soc_w_xd_id_2,eHRAF_soc_w_xd_id_2?,eHRAF_OWC,eHRAF_OWC_Name,eHRAF_SubOWC_in_DPLACE,eHRAF_SubOWC_Name_in_DPLACE,eHRAF_subOWC_FINAL_STATUS_2021,STATUS_JULY_31_2021,language match checked by KK,D-PLACE match checked by KK,KK_ISSUE
17.44,38.36,,,15.53,39.92,Western Asia,Semitic East Africa,Horn of Africa - Semitic,Coastal Eritrea/ Dahlak Archipelago,Eritrean Rashaida,Rashaayda; Bani Rashid,Banu Abs Bedouin,,,East African Arabic Speaking Peoples,Old Eurasia,1967,Hot Desert,BWh,,,1,,,,Tigrinya,ISO 639-3: tir,tigr1271,language,tigr1271,afro1255,Eritrea,,24195,24195,,,,,,,wiki,"The Rashaida are a tribe of Bedouin Arabs descending from the Banu Abs native to the Hejaz region in western Saudi Arabia. They are now widely dispersed across Western Asia and North Africa, and can be found in Saudi Arabia, Kuwait, United Arab Emirates, Bahrain, Oman, Yemen, Palestine, Jordan, Eritrea, Sudan, Libya, Egypt, and Tunisia. There is also a population of Rashaida in Western Malaysia.  ",,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @WikiRashaida @Glottotigr1271,10,NOT CHECKED BY KK,0,NOT CHECKED BY KK,NOT CHECKED BY KK,,,,,,,,,,,,,,,,,,,,,,,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,
41.2,28.66,,,38.58,35.76,Western Asia,Turkish Thrace,Marmara Reg,Istanbul,Turkish Jews,Türkiye Yahudileri; Yehudim Turkim; Djudios Turkos; Sephardim; Turko-Sephardic Jews,Turkish Jews,,,Turkish Jews,Old Eurasia,1955,"Warm Mediterranean, Humid Subtropical Oceanic Highland, Warm Oceanic Humid Subtropical","Csa, Cfa, Cfb",,,1,,,,Ladino,,ladi1251,language,ladi1251,indo1319,Turkey,,62583,62583,,,,,,,wiki,,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottoladi1251 @WikiHistoryOfJewsInTurkey,,,,,NONE,NONE,NONE,NONE,NONE,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,,
2.01,27.95,,,3.33,28.33,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Budu,Babudu; Bodo; Ebudu; Kibudu,Lebonya,,Benue Congo Peoples,West & Central African Peoples,Tropical Gardeners,1954,"Tropical Rainforest, Monsoon, Tropical Savanna","Af, Am, Aw ",AH-Rain Forest,scfal577,2,,,,Budu,ISO 639-3: buu,budu1250,language,budu1250,atla1278,Democratic Republic of the Congo,,12662,12662,,,,,Northern Equatorial Bantu,16,wiki,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottobudu1250 @Ethnobuu @WikiBudu,10,AUTOMATED NAME CHECK ONLY (SOCIETY/LANGUAGE NAMES),0,D-PLACE match based on name; language from D-PLACE match,Ae31,Budu,Budu (Ae31),xd151,1,no,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match_NA_NO_HRAF_MATCH,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,D-PLACE_GJB_society_names_AND_languages_match,DONE,DONE,
3.65,28.59,,,3.33,28.33,Africa,Central Africa,Equatorial Central Africa,"Haut-Uele Prov, N E DR Congo",Ndongo,,Ubangi,,Volta Congo Peoples,West & Central African Peoples,Tropical Gardeners,1952,Tropical Savannah,Aw,,,2,,,,Dongo,,dong1290,language,dong1290,atla1278,Democratic Republic of the Congo,,22331,22331,,,,,,,,,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottodong1290,10,VERY WELL,0,GIS,NONE,NONE,NONE,NONE,NONE,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,CHECKED_INTENSIVELY,DONE,DONE,
1.17,28.76,,,1.83,29.5,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo",Forest Bira,Kango; Bakango; Batchua; Bila,Old Bomokandian,,Benue Congo Peoples,West & Central African Peoples,Tropical Gardeners,1954,Tropical Savannah,Aw,AH-Tropical Forest,scfal721,2,1,,,Bila,ISO 639-3: bip,bila1255,language,bila1255,atla1278,Democratic Republic of the Congo,,15412,15412,15412,,,,Northern Equatorial Bantu,16,wiki,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottobila1255 @Ethnobip @WikiBila @Lomax1966-72Minutage,10,AUTOMATED NAME CHECK ONLY (SOCIETY/LANGUAGE NAMES),0,D-PLACE match presumed correct based on similarity of society names; language assigned based on D-PLACE society,Ae30,Bira,Bira (Ae30),xd150,1,no,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match_NA_NO_HRAF_MATCH,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,D-PLACE_GJB_society_names_AND_languages_match,DONE,DONE,
1.64,26.41,,,1.83,29.5,Africa,Central Africa,Equatorial Central Africa,"Ituri Prov, N E DR Congo ",BaNguana,BaTambatamba; BaNgwana,Arabized N Equatorial Bantu,,Swahilian Peoples,West & Central African Peoples,Tropical Gardeners; Traders,1958,"Monsoon, Tropical Savannah","Am, Aw",,,2,4,,,Ituri Kingwana,,itur1238,dialect,cong1236,atla1278,Democratic Republic of the Congo,,11600,11600,11600,,,,,,wiki,"Formerly Zanzibar Arabs, the BaNguana were involved in the slave trade, and settled near hunter-gatherers in Ituri Forest.",,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @WikiIturiProvince @Glottoitur1238 @Lomax1966-72Minutage,10,FAIRLY WELL,0,"Note: Arioti (1985) states that Kingwana is ""the Swahili dialect introduced to the area by the Bangwana""",NONE,NONE,NONE,NONE,NONE,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,CHECKED_FAIRLY_WELL,DONE,DONE,
-5.65,19.83,,,-4.7,18.65,Africa,Central Africa,Equatorial Central Africa,"Kwilu Prov, S W DR Congo",Pende,Phende; Bapende; Baphende,Njila Peoples,,Central Western Bantu,West & Central African Peoples,Tropical Gardeners,1935-36,Tropical Savannah,Aw,Unclassified Food Producers,scfal1264,2,,,,Phende,ISO 639-3: pem,phen1239,language,phen1239,atla1278,Democratic Republic of the Congo,,23563,23563,,,,,Western Central Bantu,6,wiki,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottophen1239 @Ethnopem @WikiPende,10,AUTOMATED NAME CHECK ONLY (SOCIETY/LANGUAGE NAMES),0,D-PLACE match based on name; language from D-PLACE match,Ac2,Pende,Pende (Ac2),xd44,1,no,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match_NA_NO_HRAF_MATCH,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,D-PLACE_GJB_society_names_AND_languages_match,DONE,DONE,
0.37,16.61,,,1.41,15.23,Africa,Central Africa,Equatorial Central Africa,"Sangha Dept, N Congo",Bongili,Bongiri; Bokiba; Ngiri,Ngondi-Ngiri,,Ngondi-Ngiri Peoples,West & Central African Peoples,Tropical Gardeners,1946,Tropical Savannah,Aw,AH-Sudan,scfal678,2,,,,Bongili,ISO 639-3: bui,bong1284,language,bong1284,atla1278,Republic of the Congo,,12480,12480,,,,,,,wiki,,,,@Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottobong1284 @Ethnobui @WikiBongili,10,NOT CHECKED BY KK,0,NOT CHECKED BY KK,NOT CHECKED BY KK,,,,,,,,,,,,,,,,,,,,,,,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,
11.01,18.29,,,8.22,24.63,Africa,Central Africa,N Central Africa,N W Central African Rep/ S Chad/ S W Sudan,Sara Madjingaye,Sara Peoples/ Chaddic Nilotes,Sara Nilotes,,,West & Central African Peoples,Tropical Gardeners,1966,Tropical Savannah,Aw,AH-Savannah,scfal921,2,,,,Sar,ISO 639-3: mwm,sarr1246,language,sarr1246,cent2225,Central African Republic; Chad; Sudan,,30006,30006,,,,,Lake Chad,31,wiki,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @WikiSara @EWCSara @Glottosarr1246 @Ethnomwm,10,"WELL, BUT GIS MAPS NOT USED",0,"There is no subcase info available for EA society Ai22. For now, all Sara societies in GJB matched to Ai22 (GJB30001; 30004; 30003; 30006; 30002; 62543).",Ai22,Sara,Sara (Ai22),xd351,1,no,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match_NA_NO_HRAF_MATCH,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Prelim_check_GIS_not_used,DONE,DONE,
-11.63,29.02,,,-11.72,25.64,Africa,Central Africa,S Central Africa,S DR Congo/ N Zambia,Aushi Bemba,Ushi,Bemba,,Central South Bantu,West & Central African Peoples,Tropical Gardeners,1957,Humid Subtropical,Cwa,,,2,,,,Aushi,ISO 639-3: auh,aush1241,language,aush1241,atla1278,Democratic Republic of the Congo; Zambia,,11067,11067,,,,,,,wiki,,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottoaush1241 @Ethnoauh @WikiBemba,9,FAIRLY WELL,0,GIS,NONE,NONE,NONE,NONE,NONE,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Checked_w_GIS,DONE,DONE,
-0.92,13.01,,,-1.44,11.8,Africa,Central Africa,W Equatorial Coast,S C Gabon,Adouma,Duma,W Equatorial Bantu,,Equatorial Bantu,West & Central African Peoples,Tropical Gardeners,1946,Tropical Savannah,Aw,,,2,,,,Duma,ISO 639-3: dma,duma1253,language,duma1253,atla1278,Gabon,,14807,14807,,,,,,,wiki,"The Adouma (Duma) people of Gabon, located in the Ogooue River region, are known as expert boatmen and canoe makers and in the past were slave traders. They worship spirits and ghosts and make remarkable masks for celebrations and rituals.",,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottoduma1253 @Ethnodma @WikiDuma,10,NOT CHECKED BY KK,0,NOT CHECKED BY KK,NOT CHECKED BY KK,,,,,,,,,,,,,,,,,,,,,,,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,
-0.01,11.71,,,-1.44,11.8,Africa,Central Africa,W Equatorial Coast,S C Gabon,Okande,Kande,W Equatorial Bantu,,Equatorial Bantu,West & Central African Peoples,Tropical Gardeners,1946,Tropical Savannah,Aw,,,2,,,,Kande,ISO 639-3: kbs,kand1300,language,kand1300,atla1278,Gabon,,23073,23073,,,,,,,wiki,"The Okande people are a small group living in Gabon, Africa. Despite exploitation, disease and violence, they have held tightly to their traditions and core beliefs. The Mwiri, a male initiation society, is the stronghold of tradition, customs, and religious beliefs of the Okande people. Members are in charge of rituals and ceremonies connecting them with the ancestors, who must be honored and respected. Cultural traditions are expressed through music and dance.",,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottokand1300 @Ethnokbs @WikiOkande,9,NOT CHECKED BY KK,0,NOT CHECKED BY KK,NOT CHECKED BY KK,,,,,,,,,,,,,,,,,,,,,,,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,
-2.95,39.56,,,-3.22,40.13,Africa,East Africa,Great Lakes Africa,E Kenya,Kenya Swahili,,Swahili E Bantu,,,East African Peoples,Tropical Gardeners,1950,Tropical Savannah,Aw,,,2,,,,Swahili,,swah1253,language,swah1253,atla1278,Kenya,,62585,62585,,,,,,,wiki,,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @WikiSwahiliPeople @Glottoswah1253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.91,29.68,,,-6.8,39.28,Africa,East Africa,Great Lakes Africa,E Tanzania,Tanzania Swahili,,Swahili E Bantu,,,East African Peoples,Tropical Gardeners,1950,Tropical Savannah,Aw,,,2,,,,Swahili,,swah1253,language,swah1253,atla1278,Tanzania,,62586,62586,,,,,,,wiki,,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @WikiSwahiliPeople @Glottoswah1253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3,30.33,,,-0.69,30.54,Africa,East Africa,Great Lakes Africa,"Former Ankole Kingdom, S W Uganda",Bairu,Iru,Banyankole E Bantu,,,East African Peoples,Tropical Gardeners,1962-63,Tropical Savannah,Aw,,,2,,,,Nyankole,ISO 639-3: nyn,nyan1307,language,nyan1307,atla1278,Uganda,,62589,62589,,,,,,,wiki,,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @WikiAnkole @Glottonyan1307 @Ethnonyn,,VERY WELL,0,"Checked by SS. Language match assigned based on tape notes, but not matched with EA Ad45 (Nyankole) because it was a better match with GJB society Ankole.",NONE,NONE,NONE,NONE,NONE,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,,
2.27,37.36,,,2.62,37.92,Africa,East Africa,Great Lakes Africa,"Marsabit Cty, N Kenya",Rendille,Reendile; Randile,Lowland E Cushites,,,East African Peoples,African Pastoralists,1971-87,Tropical Savannah,Aw,,,2,,,,Rendille,ISO 639-3: rel,rend1243,language,rend1243,afro1255,Kenya,,30019,30019,,,,,,,wiki,"The !Kung are the Bushmen of the Kalahari Desert in Namibia, Botswana, and Angola. Traditionally hunter-gatherers, the men hunt large game and the women hunt small game and gather fruits, seeds, and tubers. As a group they are egalitarian and share food and resources. Their hunting ritual encourages humility: the hunter is not praised for his skill and the meat is shared among the group members equally. They practice traditional nature animism and regard the praying mantis as the messenger of their primary god Goaxa. Shamans communicate with the spirits and run through a fire to chase away bad spirits.",,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottorend1243 @Ethnorel @WikiRendille,10,NOT CHECKED BY KK,0,NOT CHECKED BY KK,NOT CHECKED BY KK,,,,,,,,,,,,,,,,,,,,,,,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,
-11.38,33.91,,,-11.13,33.75,Africa,East Africa,Great Lakes Africa,N Malawi,Tonga (Malawi),Batonga; Nyasa Tonga,Nyasa S E Bantu,,,East African Peoples,Tropical Gardeners,1950; 1957,Humid Subtropical,Cwa,AH-Waterside,scfal572,2,,,,Tonga (Nyasa),ISO 639-3: tog,tong1321,language,tong1321,atla1278,Malawi,,27017,27017,,,,,Eastern Central Bantu,7,wiki,,Previously this society was assigned language tong1316. Language was changed to tong1321 in August 2021 based on song metadata and web research.,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottotong1321 @WikiTonga @Ethnotog,10,VERY WELL,SEE CORRECTIONS TAB,"GIS, web research. Note, previously this GJB ID had songs that should be assigned to Tsonga of Mozambique (tson1249). KK suggested splitting these off in July 2021. (see KK_Issue23)",Ac13,Tonga,Lake Tonga (Ac13),xd37,1,Yes,FR07,Lakeshore Tonga,FR07,Lakeshore Tonga,FR07_GOOD,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,CHECKED_INTENSIVELY,SEE_CORRECTION,SEE_CORRECTIONS_TAB,Issue23
1.57,35.23,,,1.36,34.77,Africa,East Africa,Great Lakes Africa,W Kenya/ E Uganda,Pokot,Pökoot,Kalenjin Nilotes,,,East African Peoples,African Pastoralists,1975,Tropical Savannah,Aw,P-Moslem Sudan,scfal1018,2,,,,Pökoot,ISO 639-3: pko,poko1263,language,poko1263,nilo1247,Kenya,,30134,30134,,,,30134,Southern Nilotes,38,wiki,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottopoko1263 @Ethnopko @WikiPokot @ArensbergLomax1977Subsistence,10,"WELL, BUT GIS MAPS NOT USED",0,Match based on language,Aj23,Plains Suk,Plains Suk (Aj23),xd399,1,no,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match_NA_NO_HRAF_MATCH,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Prelim_check_GIS_not_used,DONE,DONE,
4.78,45.15,,,4.81,42.83,Africa,East Africa,Horn of Africa,Djibouti/ S E Ethiopia/ Kenya/ Somalia ,Somalis,Soomaali,Lowland E Cushites,,,East African Peoples,African Pastoralists,1972,"Warm Desert, Semi Arid Steppe Hot","BWh, BSh",P-Camel Nomads,scfal1048,2,,1,,Somali,ISO 639-3: som,soma1255,language,soma1255,afro1255,Ethiopia,,25818,25818,,25818,,,Horn,41,wiki,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottosoma1255 @Ethnosom @WikiSomalis @Lomax1971-72Parlametrics,10,VERY WELL,0,"Location given is very general (""Somali region, Ethiopia""); therefore, matched to Ca2 Somali and assigned language soma1255; could also be a match for Ca10 Esa",Ca2,Somali,Somali (Ca2),xd426,2,Yes,MO04,Somali,MO04,Somali,MO04_GOOD,Yes - 2 possible matches,Ca10,Esa,Esa (Ca10),xd416,1,Yes,MO04,Somali,MO04,Somali,MO04_GOOD,CHECKED_INTENSIVELY,DONE,DONE,
11.94,35.63,,,10.87,39.68,Africa,East Africa,Horn of Africa,Highland Ethiopia,Weyto,Wayto; Watta,L Tana Hunter Gatherers/ Weyto,,African Hunter-Gatherers,East African Peoples,African Gatherers,1972,"Tropical Savannah, Warm Mediterranean, Temperate Mediterranean, Humid Subtropical, Humid Subtropical Oceanic Highland","Aw, Csa, Csb, Cwa, Cwb",,,2,,,,Weyto,ISO 639-3: woy,weyt1237,language,weyt1237,unat1236,Ethiopia,,28507,28507,,,,,,,wiki,"The Weyto people live in Ethiopia around Lake Tana. In the 1994 census they numbered 1172, but the Weyto as a culture may be extinct as it was not offered as an option on the 2007 census. They are known as hippopotamus hunters and because of that they have been considered outcasts by neighboring groups.",,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottoweyt1237 @Ethnowoy @WikiWeyto,10,NOT CHECKED BY KK,0,NOT CHECKED BY KK,NOT CHECKED BY KK,,,,,,,,,,,,,,,,,,,,,,,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,
5.63,39.75,,,7.09,40.04,Africa,East Africa,Horn of Africa,"Oromia, Ethiopia",Arsi,Arussi,Oromo Lowland E Cushites,,,East African Peoples,African Pastoralists,1972,Humid Subtropical Oceanic Highland,Cwb,PA-Middle East,scfal1134,2,,,,Borana-Arsi-Guji Oromo,,bora1271,language,bora1271,afro1255,Ethiopia,,10929,10929,,,,,Galla-Konso,40,wiki,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @WikiArsi @Glottobora1271,10,FAIRLY WELL,0,GIS,Ca11,Arusi,Arusi (Ca11),xd417,1,no,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match_NA_NO_HRAF_MATCH,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Checked_w_GIS,DONE,DONE,
6.99,35.58,,,6.67,36.31,Africa,East Africa,Horn of Africa,"Southern Nations, Nationalities & People Region, S W Ethiopia",Bench-Maji,,N Omotic Peoples,,,East African Peoples,African Pastoralists,1968,"Temperate Mediterranean, Tropical Savanna","Csb, Aw",,,2,,,,Bench,ISO 639-3: bcq,benc1235,language,benc1235,gong1255,Ethiopia,,15871,15871,,,,,,,wiki,,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottobenc1235 @Ethnobcq @WikiBenchMajiZone,10,NOT CHECKED BY KK,0,NOT CHECKED BY KK,NOT CHECKED BY KK,,,,,,,,,,,,,,,,,,,,,,,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,
4.45,38.46,,,6.67,36.31,Africa,East Africa,Horn of Africa,"Southern Nations, Nationalities & People Region, S W Ethiopia",Burji,"Bembala, Bambala, Daashi",Highland E Cushites,,,East African Peoples,Old Eurasia,1972,Tropical Savannah,Aw,AH-Savannah,scfal811,2,,,,Burji,ISO 639-3: bji,burj1242,language,burj1242,afro1255,Ethiopia,,12838,12838,,,,,Galla-Konso,40,wiki,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottoburj1242 @Ethnobji @WikiBurji,10,AUTOMATED NAME CHECK ONLY (SOCIETY/LANGUAGE NAMES),0,D-PLACE match based on name; language from D-PLACE match,Ca14,Burji,Burji (Ca14),xd420,1,no,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match_NA_NO_HRAF_MATCH,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,D-PLACE_GJB_society_names_AND_languages_match,DONE,DONE,
6.14,35.58,,,6.67,36.31,Africa,East Africa,Horn of Africa,"Southern Nations, Nationalities & People Region, S W Ethiopia",Dizi,Maji,N Omotic Peoples,,,East African Peoples,African Pastoralists,1968,Tropical Savannah,Aw,,,2,,,,Dizin,ISO 639-3: mdx,dizi1235,language,dizi1235,dizo1235,Ethiopia,,20477,20477,,,,,,,wiki,,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottodizi1235 @Ethnomdx @WikiDizi,10,NOT CHECKED BY KK,0,NOT CHECKED BY KK,NOT CHECKED BY KK,,,,,,,,,,,,,,,,,,,,,,,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,
9.15,16.65,,,13.08,14.49,Africa,Northern Africa,C Sahel,Lake Chad Basin,Sara Nar,Sara Peoples/ Chaddic Nilotes,Sara Nilotes,,,North African Peoples,Tropical Gardeners,1966,Tropical Savannah,Aw,,,2,,,,Sar,ISO 639-3: mwm,sarr1246,language,sarr1246,cent2225,Chad,,30002,30002,,,,,Lake Chad,31,wiki,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @Glottosarr1246 @Ethnomwm @WikiSara,10,"WELL, BUT GIS MAPS NOT USED",0,"There is no subcase info available for EA society Ai22. For now, all Sara societies in GJB matched to Ai22 (GJB30001; 30004; 30003; 30006; 30002; 62543).",Ai22,Sara,Sara (Ai22),xd351,1,no,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match,No_HRAF_match_NA_NO_HRAF_MATCH,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Prelim_check_GIS_not_used,DONE,DONE,
12.05,23.64,,,13.47,24.59,Africa,Northern Africa,E Sahel,"Darfur, W Sudan",Fur,Fora; Fordunga; Furawi; Konjara; Kungara,Fur,,,North African Peoples,Tropical Gardeners,1967,Arid Steppe Hot,BSh,AH-Savannah,scfal824,2,,,,Fur,ISO 639-3: fvr,furr1244,language,furr1244,fura1235,Sudan,,15566,15566,,,,,Wadai-Darfur,32,wiki,,,,@Murdock1999EA @Murdock1968WorldSamplingProvinces @Lomax1989Cantometrics @ArensbergLomax1977Subsistence @Koppen2006UpdatedWorldMap @Glottofurr1244 @Ethnofvr @WikiFur,10,AUTOMATED NAME CHECK ONLY (SOCIETY/LANGUAGE NAMES),0,D-PLACE match based on name; language from D-PLACE match,Cb17,Fur,Fur (Cb17),xd466,2,Yes,MQ08,Fur (Darfur),MQ08,Darfur,MQ08_GOOD,No,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,D-PLACE_GJB_society_names_AND_languages_match,DONE,DONE,
11.02,29.72,,,11.98,30.74,Africa,Northern Africa,E Sahel,"Nuba Mtns, Sudan",Hjare,,Nuba Peoples,,,North African Peoples,Old Eurasia,1967,Arid Steppe Hot,BSh,,,2,,,,Kadugli,,kadu1257,dialect,katc1249,kadu1256,Sudan,,22861,22861,,,,,,,wiki,,,,@Lomax1989Cantometrics @Koppen2006UpdatedWorldMap @WikiNuba @Glottokadu1257,10,NOT CHECKED BY KK,0,NOT CHECKED BY KK,NOT CHECKED BY KK,,,,,,,,,,,,,,,,,,,,,,,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,NOT_CHECKED_BY_KK,
